Title,Author,Nationality,Sex,Job,Publisher,Original_year_published,Genre,Sub_genre,Language,Number_pages,Date_started,Date_finished,Days,Pages_per_day
We Are Cuba,Helen Yaffe,British,Female,Professor,Yale University Press,2020,Non-fiction,History,English,278,12/13/2020,12/28/2020,15,18.5
World War Z,"Brooks, Max",American,Male,,Three Rivers Press,2006,Fiction,Horror,English,420,11/28/2020,11/30/2020,2,210.0
The Anatomy Lesson,"Roth, Philip",American,Male,,Vintage,1983,Fiction,Drama,English,291,11/21/2020,11/28/2020,7,41.6
HBR's 10 Must Reads on Sales,"Goyal, Manish",Indian,Male,,Harvard Business Review Press,2017,Non-fiction,Business _economics,English,176,11/15/2020,11/20/2020,5,35.2
The Name of the Rose,"Eco, Umberto",Italian,Male,,Vintage,1980,Fiction,Mystery,English,502,10/25/2020,11/7/2020,13,38.6
La nausée,"Sartre, Jean-Paul",French,Male,,Gallimard,1938,Fiction,Philosophy,French,247,10/10/2020,10/25/2020,15,16.5
Zuckerman Unbound,"Roth, Philip",American,Male,,Vintage,1981,Fiction,Postmodernism,English,225,4/10/2020,8/10/2020,122,1.8
L'ile mysterieuse,"Verne, Jules",French,Male,,Librairie gÃ©nÃ©rale franÃ§aise,1865,Fiction,Adventure,French,826,4/9/2020,7/9/2020,91,9.1
The Design of Everyday Things,"Norman, Don",American,Male,,Basic Books,1988,Non-fiction,Design,English,368,8/9/2020,9/3/2020,25,14.7
Lance,"Nabokov, Vladimir",Russian,Male,,"Penguin Books, Limited",1951,Fiction,Short_stories,English,54,1/8/2020,6/8/2020,152,0.4
The Ghost Writer,"Roth, Philip",American,Male,,Vintage Books,1979,Fiction,Drama,English,179,7/8/2020,9/8/2020,62,2.9
A Higher Form of Killing,"Harris, Robert",British,Male,,Arrow,1982,Non-fiction,History,English,299,7/25/2020,7/27/2020,2,149.5
A Different Drummer,"Kelley, William Melvin",American,Male,,riverrun,1964,Fiction,Drama,English,336,7/20/2020,7/22/2020,2,168.0
Why Social Media is Ruining Your Life,"Ormerod, Katherine",British,Female,,Octopus Books,2018,Non-fiction,Social,English,256,7/11/2020,7/18/2020,7,36.6
The Looking Glass War,"Carré, John Le",British,Male,,"Penguin Books, Limited",1965,Fiction,Spy,English,320,7/6/2020,7/11/2020,5,64.0
1491,"Mann, Charles C.",American,Male,,Granta,2005,Non-fiction,History,English,465,6/22/2020,7/5/2020,13,35.8
The Foundation Pit,"Platonov, Andrey",Russian,Male,,Penguin Random House,1930,Fiction,Dystopia,English,240,6/13/2020,6/20/2020,7,34.3
Czechoslovakia,"Palovic, Zuzana",Slovak,Female,,Strauss Consultants,,Non-fiction,History,English,618,4/6/2020,10/6/2020,183,3.4
The big sleep,"Chandler, Raymond",American,Male,,Penguin,1939,Fiction,Crime,English,250,5/31/2020,6/2/2020,2,125.0
The Scientist and the Spy,"Hvistendahl, Mara",American,Female,,Penguin Publishing Group,2020,Non-fiction,True_crime,English,336,5/24/2020,5/26/2020,2,168.0
Hell's Angels,"Thompson, Hunter S.",American,Male,,Penguin,1966,Non-fiction,Journalism,English,284,5/17/2020,5/22/2020,5,56.8
Bad Blood,"Carreyrou, John",American,Male,,Pan Macmillan,2018,Non-fiction,Journalism,English,320,5/13/2020,5/14/2020,1,320.0
The Crying of Lot 49,"Pynchon, Thomas",American,Male,,Vintage,1966,Fiction,Drama,English,126,5/11/2020,5/13/2020,2,63.0
Homo Deus,"Harari, Yuval Noah",Israeli,Male,,Vintage,2017,Non-fiction,Science,English,513,4/26/2020,5/5/2020,9,57.0
Dans Les Archives Secretes Du Quai D'Orsay,"Vaisse, Maurice",French,Male,,L'iconoclaste,2019,Non-fiction,History,French,646,4/21/2020,4/26/2020,5,129.2
Catch-22,"Heller, Joseph",American,Male,,David Campbell,1961,Fiction,Drama,English,568,4/6/2020,4/20/2020,14,40.6
I Burn Paris,"Jasieński, Bruno ",Polish,Male,,Twisted Spoon Press,1929,Fiction,Drama,English,299,3/29/2020,4/5/2020,7,42.7
